red_izo,KODOK,NAZKR,NAZOK
600008045,3301,Jihočeský,České Budějovice
600008169,3301,Jihočeský,České Budějovice
600008215,3301,Jihočeský,České Budějovice
600008207,3301,Jihočeský,České Budějovice
600008118,3301,Jihočeský,České Budějovice
600170314,3301,Jihočeský,České Budějovice
600008185,3301,Jihočeský,České Budějovice
600170331,3301,Jihočeský,České Budějovice
600170292,3301,Jihočeský,České Budějovice
600170306,3301,Jihočeský,České Budějovice
600019578,3301,Jihočeský,České Budějovice
600008193,3301,Jihočeský,České Budějovice
600170276,3301,Jihočeský,České Budějovice
600008142,3301,Jihočeský,České Budějovice
651023599,3301,Jihočeský,České Budějovice
600008037,3301,Jihočeský,České Budějovice
600022226,3301,Jihočeský,České Budějovice
600008061,3301,Jihočeský,České Budějovice
600008029,3301,Jihočeský,České Budějovice
600170284,3301,Jihočeský,České Budějovice
600008231,3302,Jihočeský,Český Krumlov
600019594,3302,Jihočeský,Český Krumlov
600008240,3302,Jihočeský,Český Krumlov
651016029,3302,Jihočeský,Český Krumlov
600170349,3302,Jihočeský,Český Krumlov
600170373,3303,Jihočeský,Jindřichův Hradec
600008347,3303,Jihočeský,Jindřichův Hradec
600008380,3303,Jihočeský,Jindřichův Hradec
600170357,3303,Jihočeský,Jindřichův Hradec
600008282,3303,Jihočeský,Jindřichův Hradec
600022331,3303,Jihočeský,Jindřichův Hradec
600008304,3303,Jihočeský,Jindřichův Hradec
600008274,3303,Jihočeský,Jindřichův Hradec
600008339,3303,Jihočeský,Jindřichův Hradec
600019608,3303,Jihočeský,Jindřichův Hradec
600028151,3303,Jihočeský,Jindřichův Hradec
600008291,3303,Jihočeský,Jindřichův Hradec
600008371,3303,Jihočeský,Jindřichův Hradec
600008363,3303,Jihočeský,Jindřichův Hradec
600022471,3304,Vysočina,Pelhřimov
600028224,3304,Vysočina,Pelhřimov
600022501,3304,Vysočina,Pelhřimov
600008479,3304,Vysočina,Pelhřimov
600008410,3304,Vysočina,Pelhřimov
600008509,3304,Vysočina,Pelhřimov
600008401,3304,Vysočina,Pelhřimov
600008436,3304,Vysočina,Pelhřimov
600008428,3304,Vysočina,Pelhřimov
600008487,3304,Vysočina,Pelhřimov
600008461,3304,Vysočina,Pelhřimov
600028216,3304,Vysočina,Pelhřimov
691002584,3304,Vysočina,Pelhřimov
600008533,3305,Jihočeský,Písek
600170381,3305,Jihočeský,Písek
600022510,3305,Jihočeský,Písek
600008541,3305,Jihočeský,Písek
600008584,3305,Jihočeský,Písek
600008592,3305,Jihočeský,Písek
600008525,3305,Jihočeský,Písek
600020266,3305,Jihočeský,Písek
600019616,3305,Jihočeský,Písek
600008550,3305,Jihočeský,Písek
600020274,3305,Jihočeský,Písek
600008649,3306,Jihočeský,Prachatice
600008665,3306,Jihočeský,Prachatice
600020282,3306,Jihočeský,Prachatice
600008690,3306,Jihočeský,Prachatice
600008681,3306,Jihočeský,Prachatice
600008703,3307,Jihočeský,Strakonice
600008754,3307,Jihočeský,Strakonice
600008738,3307,Jihočeský,Strakonice
600008789,3307,Jihočeský,Strakonice
691003807,3307,Jihočeský,Strakonice
600008746,3307,Jihočeský,Strakonice
651016762,3307,Jihočeský,Strakonice
600020291,3307,Jihočeský,Strakonice
600008711,3307,Jihočeský,Strakonice
600170403,3307,Jihočeský,Strakonice
600020312,3307,Jihočeský,Strakonice
600008860,3308,Jihočeský,Tábor
600170438,3308,Jihočeský,Tábor
600008819,3308,Jihočeský,Tábor
600022706,3308,Jihočeský,Tábor
691003769,3308,Jihočeský,Tábor
600008801,3308,Jihočeský,Tábor
600020321,3308,Jihočeský,Tábor
600008827,3308,Jihočeský,Tábor
600008797,3308,Jihočeský,Tábor
651023572,3308,Jihočeský,Tábor
600008886,3308,Jihočeský,Tábor
600019624,3308,Jihočeský,Tábor
600008835,3308,Jihočeský,Tábor
600020339,3308,Jihočeský,Tábor
600008851,3308,Jihočeský,Tábor
600008908,3401,Plzeňský,Domažlice
600008941,3401,Plzeňský,Domažlice
600008932,3401,Plzeňský,Domažlice
600170454,3401,Plzeňský,Domažlice
