red_izo,CJ UZ Z,AJ UZ Z,CJ PP Z,AJ PP Z,MA DT Z,CJ DT Z,AJ DT Z,www,adresa,nazev_plny,red_naz,KODOK,NAZOK,NAZKR
600005461,24.6,20.2,21.0,7.5,,24.4,13.7,www.ss-smolkova.estranky.cz,"Smolkova 565, Praha 4",Střední škola pohostinství a stravování s.r.o.,SŠ pohostinství a stravování s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
651036101,,,,,,,,,"Na Veselí 51, Praha 4",Střední odborné učiliště,Střední odborné učiliště,3100,Hlavní město Praha,Hlavní město Praha
650075684,48.8,58.6,61.5,56.5,66.3,67.4,67.0,http://www.wspj.cz,"Křejpského 1501, Praha 4",Střední škola - Waldorfské lyceum,Střední škola - Waldorfské lyceum,3100,Hlavní město Praha,Hlavní město Praha
600005275,27.8,34.9,32.5,41.4,37.1,34.8,37.1,www.sousos.cz,"Schulhoffova 844, Praha 4",Střední škola managementu a služeb s.r.o.,Střední škola managementu a služeb s.r.o,3100,Hlavní město Praha,Hlavní město Praha
600005356,39.2,43.3,37.4,29.3,16.7,33.5,39.0,www.podnikakademie.cz,"K Milíčovu 674, Praha 4","Střední škola Podnikatelská akademie, s.r.o.","Střední škola Podnikatel.akademie,s.r.o.",3100,Hlavní město Praha,Hlavní město Praha
600005291,16.2,18.3,15.3,16.6,0.5,32.0,23.4,www.zahradnickaskola.cz,"Svatoslavova 333, Praha 4",Střední škola zahradnická s.r.o.,Střední škola zahradnická s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600005399,39.4,40.1,49.7,34.2,35.0,37.0,29.2,www.ksidlisti.cz,"K Sídlišti 840, Praha 4","Škola Kavčí hory - Mateřská škola, Základní škola a Střední odborná škola služeb, Praha 4, K Sídlišti 840","Škola Kavčí hory - MŠ, ZŠ a SOŠ služeb",3100,Hlavní město Praha,Hlavní město Praha
600005402,22.7,42.1,23.1,39.9,71.2,33.3,58.4,www.smvvpraha.cz,"Michelská  12, Praha 4","Škola mezinárodních a veřejných vztahů Praha, Vyšší odborná škola, Střední odborná škola, s.r.o.","Škola mezinár.a veř.vztahů,VOŠ,SOŠ,s.r.o",3100,Hlavní město Praha,Hlavní město Praha
600019462,44.2,40.9,41.6,45.3,16.9,34.9,32.0,www.zdravotnickaskola5kvetna.cz,"5. května 51, Praha 4","Vyšší odborná škola zdravotnická a Střední zdravotnická škola, Praha 4, 5. května 51",VOŠ zdravotnická a Střední zdrav.škola,3100,Hlavní město Praha,Hlavní město Praha
600020916,,,,,,,,www.modraskola.cz,"Kupeckého 576, Praha 4","Základní škola a Střední škola, Praha 4, Kupeckého 576",Základní škola a Střední škola,3100,Hlavní město Praha,Hlavní město Praha
